label,Year,Month,include,freq,fixfreq,freqerr,Amp noise level,amp,fixamp,amperr,phase,brute,fixphase,phaseerr,Multiplet Freq,Multiplet Difference,Combination Difference,Combination Sum,Periods
f4001,1994,5,TRUE,1141.219858,FALSE,0.179394235,9.062693998,33.1357129,FALSE,2.378285205,0.744663797,FALSE,FALSE,0.010786603,,,,,
f8106,2013,0,,1146.6979,,0.012,0,11.607,,0.30906,,,,,"f8113, f8115, f8130, f8131","8.42200000000002, 1.5, 6.126800000000003, 8.878900000000158",,,872.0692651
f2008,1989,7,,1147.2785,,0.2339,0,3.9531,,0.35156,,,,,,,,,
f8115,2013,0,,1148.1979,,0.0324,0,4.9563,,0.26516,,,,,"f8106, f8108, f8113, f8130, f8131","1.5, 9.388700000000199, 6.9220000000000255, 4.626800000000003, 7.378900000000158",,,870.9300026
f9225,2022,9,TRUE,1151.53762,FALSE,0.005520006,0.664442269,2.796193476,FALSE,0.069256512,0.455695434,FALSE,FALSE,0.003942827,,,,,
f8130,2013,0,,1152.8247,,0.0328,0,4.2,,0.30375,,,,,"f8100, f8106, f8108, f8109, f8113, f8115, f8131","9.67960000000016,  6.126800000000003, 4.761900000000196, 8.968900000000076, 2.2952000000000226, 4.626800000000003, 2.752100000000155",,,867.4345718
f2401,1991,10,TRUE,1153.740586,FALSE,0.090333937,2.956300422,15.76588924,FALSE,0.395089421,0.669463706,FALSE,FALSE,0.003930891,,,,,
f8113,2013,0,,1155.1199,,0.0384,0,8.6561,,0.88332,,,,,"f8100, f8106, f8108, f8109, f8115, f8130, f8131, f8178","7.38440000000014, 8.422000000000025, 2.4667000000001735, 6.6737000000000535, 6.9220000000000255, 2.2952000000000226, 0.4569000000001324, 8.130100000000084",,,865.7109968
f8131,2013,0,,1155.5768,,0.0515,0,6.339,,0.9109,,,,,"f8100, f8106, f8108, f8109, f8113, f8115, f8130, f8178","6.9275, 8.878900000000158, 2.009800000000041, 6.216799999999921, 0.4569000000001324, 7.378900000000158, 2.752100000000155, 7.673199999999952",,,865.3687059
f8108,2013,0,,1157.5866,,0.0138,0,10.928,,0.35084,,,,,"f8100, f8109, f8113, f8115, f8130, f8131, f8178","4.91769999999996, 4.20699999999988, 2.4667000000001735, 9.388700000000199, 4.761900000000196, 2.009800000000041, 5.6633999999999105",,,863.8662542
f2300,1991,9,TRUE,1161.433406,FALSE,0.007194872,3.814605342,43.93166359,FALSE,0.289025082,0.372670838,FALSE,FALSE,0.001041127,,,,,
f8109,2013,0,,1161.7936,,0.0199,0,9.766,,0.42316,,,,,"f8100, f8108, f8113, f8116, f8130, f8131, f8177, f8178","0.710700000000088, 4.20699999999988, 6.6737000000000535, 4.448900000000094, 8.968900000000076, 6.216799999999921, 7.872700000000123, 1.4564000000000306",,,860.7380864
f8200,2017,10,TRUE,1162.053103,FALSE,0.019228909,4.970141408,34.92267948,FALSE,1.060173737,0.863825204,FALSE,FALSE,0.004843105,,,,,
f8100,2013,0,,1162.5043,,0.0114,0,22.893,,0.35144,,,,,"f8108, f8109, f8113, f8116, f8130, f8131, f8177, f8178","4.91769999999996, 0.710700000000088, 7.3844000000001415, 3.738200000000006, 9.679600000000164, 6.927500000000009, 7.162000000000035, 0.7456999999999425",,,860.2118719
f8000,2012,0,TRUE,1162.519487,FALSE,0.004105982,1.968314894,26.20962927,FALSE,0.311173444,0.378836177,FALSE,FALSE,0.001887793,,,,,
f8178,2013,0,,1163.25,,0.0599,0,3.5948,,0.3525,,,,,"f8100, f8108, f8109, f8113, f8116, f8131, f8177","0.745699999999942, 5.6633999999999105, 1.4564000000000306, 8.130100000000084, 2.9925000000000637, 7.673199999999952, 6.416300000000092",,,859.6604341
f6000,1985,8,,1163.28,,,0,24.6,,,,,,,,,,,859.638
f9018,2020,0,,1164.05,,0.02,0,4.4,,0.3,,,,,f9017,2.46,,,
f9224,2022,9,TRUE,1164.315524,FALSE,0.003723863,0.664442269,4.145615816,FALSE,0.069264693,0.928490429,FALSE,FALSE,0.002659884,,,,,
f0201,1985,10,TRUE,1164.468445,FALSE,0.007621988,4.710128817,26.40983107,FALSE,0.501242776,0.125133969,FALSE,FALSE,0.003021415,,,,,
f0100,1985,9,TRUE,1164.49482,FALSE,0.032898648,3.93177497,39.38946434,FALSE,0.824623364,0.12419234,FALSE,FALSE,0.003316917,,,,,
